Operator,Week,Part,Measure
1,1,1,1.48
1,1,2,1.481
1,1,3,1.482
1,1,4,1.48
1,1,5,1.478
1,1,6,1.48
1,1,7,1.488
1,1,8,1.481
1,1,9,1.481
1,1,10,1.481
1,2,1,1.48
1,2,2,1.48
1,2,3,1.483
1,2,4,1.48
1,2,5,1.478
1,2,6,1.48
1,2,7,1.487
1,2,8,1.481
1,2,9,1.481
1,2,10,1.48
1,3,1,1.481
1,3,2,1.482
1,3,3,1.482
1,3,4,1.481
1,3,5,1.478
1,3,6,1.481
1,3,7,1.487
1,3,8,1.48
1,3,9,1.481
1,3,10,1.48
2,1,1,1.48
2,1,2,1.482
2,1,3,1.482
2,1,4,1.481
2,1,5,1.479
2,1,6,1.48
2,1,7,1.488
2,1,8,1.479
2,1,9,1.482
2,1,10,1.481
2,2,1,1.48
2,2,2,1.481
2,2,3,1.483
2,2,4,1.48
2,2,5,1.478
2,2,6,1.481
2,2,7,1.487
2,2,8,1.481
2,2,9,1.482
2,2,10,1.481
2,3,1,1.48
2,3,2,1.482
2,3,3,1.483
2,3,4,1.48
2,3,5,1.478
2,3,6,1.481
2,3,7,1.487
2,3,8,1.48
2,3,9,1.481
2,3,10,1.481
3,1,1,1.481
3,1,2,1.482
3,1,3,1.483
3,1,4,1.48
3,1,5,1.478
3,1,6,1.48
3,1,7,1.487
3,1,8,1.481
3,1,9,1.481
3,1,10,1.482
3,2,1,1.48
3,2,2,1.481
3,2,3,1.482
3,2,4,1.48
3,2,5,1.478
3,2,6,1.48
3,2,7,1.487
3,2,8,1.48
3,2,9,1.481
3,2,10,1.482
3,3,1,1.481
3,3,2,1.481
3,3,3,1.483
3,3,4,1.481
3,3,5,1.478
3,3,6,1.481
3,3,7,1.487
3,3,8,1.481
3,3,9,1.482
3,3,10,1.482
